"","Survey_OTU","Domain","Phylum","Class","Order","Family","Genus","Survey_Genus_Mean"
"195","OTU4","Bacteria","Acidobacteria","Acidobacteria_Gp6","uncl_Acidobacteria_Gp6","uncl_Acidobacteria_Gp6","Gp6",10.8293055829552
"117","OTU2","Bacteria","Acidobacteria","Acidobacteria_Gp4","uncl_Acidobacteria_Gp4","uncl_Acidobacteria_Gp4","Gp4",9.24861905701322
"156","OTU25","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",6.79744525547445
"178","OTU32","Bacteria","Proteobacteria","Gammaproteobacteria","uncl_Gammaproteobacteria","uncl_Gammaproteobacteria","uncl_Gammaproteobacteria",6.3769974353916
"154","OTU24","Bacteria","Acidobacteria","Acidobacteria_Gp7","uncl_Acidobacteria_Gp7","uncl_Acidobacteria_Gp7","Gp7",6.21177747090156
"11","OTU11","Bacteria","Proteobacteria","Betaproteobacteria","uncl_Betaproteobacteria","uncl_Betaproteobacteria","uncl_Betaproteobacteria",4.75069047149339
"37","OTU13","Bacteria","Verrucomicrobia","Spartobacteria","uncl_Spartobacteria","uncl_Spartobacteria","Spartobacteria_genera_incertae_sedis",4.33887354507792
"251","OTU7","Bacteria","Actinobacteria","uncl_Actinobacteria","uncl_Actinobacteria","uncl_Actinobacteria","uncl_Actinobacteria",3.74580785164727
"256","OTU71","Bacteria","Acidobacteria","uncl_Acidobacteria","uncl_Acidobacteria","uncl_Acidobacteria","uncl_Acidobacteria",3.06396725192346
"275","OTU84","Bacteria","Bacteroidetes","Chitinophagia","Chitinophagales","Chitinophagaceae","uncl_Chitinophagaceae",2.51159005721049
"210","OTU45","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","uncl_Comamonadaceae",2.0849773130795
"215","OTU49","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter",1.85810810810811
"149","OTU23","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Aquabacterium",1.67685934109292
"249","OTU69","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae","Stenotrophobacter",1.56958966265536
"189","OTU37","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae","uncl_Blastocatellaceae",1.5671236930361
"83","OTU17","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","uncl_Xanthomonadaceae",1.48944565002959
"127","OTU21","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","uncl_Blastocatellales","uncl_Blastocatellales",1.33655553363583
"230","OTU6","Bacteria","Acidobacteria","Acidobacteria_Gp17","uncl_Acidobacteria_Gp17","uncl_Acidobacteria_Gp17","Gp17",1.26750838429671
"196","OTU40","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae","Aridibacter",1.13311304004735
"183","OTU350","Bacteria","Verrucomicrobia","uncl_Verrucomicrobia","uncl_Verrucomicrobia","uncl_Verrucomicrobia","uncl_Verrucomicrobia",1.11831722233182
"220","OTU52","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",1.05543499704084
"257","OTU72","Bacteria","Bacteroidetes","uncl_Bacteroidetes","uncl_Bacteroidetes","uncl_Bacteroidetes","uncl_Bacteroidetes",0.851992503452357
"293","OTU94","Bacteria","Nitrospirae","Nitrospira","Nitrospirales","Nitrospiraceae","Nitrospira",0.851992503452357
"38","OTU132","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Chromatiaceae","Thermochromatium",0.806372065496153
"3","OTU103","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","uncl_Xanthomonadales","uncl_Xanthomonadales",0.745955809824423
"15","OTU116","Bacteria","Acidobacteria","Acidobacteria_Gp3","uncl_Acidobacteria_Gp3","uncl_Acidobacteria_Gp3","Gp3",0.739790885776287
"175","OTU31","Bacteria","Cyanobacteria","Cyanobacteria","uncl_Cyanobacteria","uncl_Cyanobacteria","uncl_Cyanobacteria",0.637453146577234
"201","OTU423","Bacteria","Proteobacteria","uncl_Proteobacteria","uncl_Proteobacteria","uncl_Proteobacteria","uncl_Proteobacteria",0.618958374432827
"191","OTU386","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","uncl_Myxococcales","uncl_Myxococcales",0.563474057999605
"19","OTU120","Bacteria","Actinobacteria","Actinobacteria","uncl_Actinobacteria","uncl_Actinobacteria","uncl_Actinobacteria",0.551144209903334
"211","OTU46","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","uncl_Flavobacteriaceae",0.551144209903334
"207","OTU44","Bacteria","Cyanobacteria","uncl_Cyanobacteria","uncl_Cyanobacteria","uncl_Cyanobacteria","uncl_Cyanobacteria",0.512921680804892
"131","OTU215","Bacteria","Verrucomicrobia","Subdivision3","uncl_Subdivision3","uncl_Subdivision3","Subdivision3_genera_incertae_sedis",0.510455711185638
"171","OTU292","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","uncl_Cytophagales","uncl_Cytophagales",0.480864075754587
"93","OTU177","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","uncl_Solirubrobacterales","uncl_Solirubrobacterales",0.475932136516078
"51","OTU142","Bacteria","Proteobacteria","Deltaproteobacteria","uncl_Deltaproteobacteria","uncl_Deltaproteobacteria","uncl_Deltaproteobacteria",0.46236930361018
"157","OTU250","Bacteria","Actinobacteria","Thermoleophilia","uncl_Thermoleophilia","uncl_Thermoleophilia","uncl_Thermoleophilia",0.451272440323535
"50","OTU14","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Arenimicrobiaceae","Arenimicrobium",0.431544683369501
"148","OTU229","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","uncl_Burkholderiales","uncl_Burkholderiales",0.422913789702111
"173","OTU300","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Gemmataceae","uncl_Gemmataceae",0.392089169461432
"18","OTU12","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Gillisia",0.385924245413297
"228","OTU588","Bacteria","Planctomycetes","Planctomycetacia","uncl_Planctomycetacia","uncl_Planctomycetacia","uncl_Planctomycetacia",0.380992306174788
"192","OTU39","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","Patulibacteraceae","Patulibacter",0.350167685934109
"102","OTU186","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Paenisporosarcina",0.346468731505228
"138","OTU221","Bacteria","Planctomycetes","Planctomycetacia","Pirellulales","uncl_Pirellulales","uncl_Pirellulales",0.331672913789702
"177","OTU316","Bacteria","Actinobacteria","Rubrobacteria","Rubrobacterales","Rubrobacteraceae","Rubrobacter",0.315644111264549
"224","OTU545","Bacteria","Proteobacteria","Alphaproteobacteria","uncl_Alphaproteobacteria","uncl_Alphaproteobacteria","uncl_Alphaproteobacteria",0.305780232787532
"180","OTU325","Bacteria","Chloroflexi","uncl_Chloroflexi","uncl_Chloroflexi","uncl_Chloroflexi","uncl_Chloroflexi",0.270023673308345
"137","OTU219","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","uncl_Rhizobiales","uncl_Rhizobiales",0.265091734069836
"184","OTU353","Bacteria","Acidobacteria","Blastocatellia","uncl_Blastocatellia","uncl_Blastocatellia","uncl_Blastocatellia",0.258926810021701
"60","OTU152","Bacteria","Acidobacteria","Acidobacteria_Gp7","uncl_Acidobacteria_Gp7","uncl_Acidobacteria_Gp7","uncl_Acidobacteria_Gp7",0.249062931544683
"65","OTU1554","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","uncl_Enterobacteriaceae",0.244130992306175
"142","OTU226","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales","uncl_Gaiellales","uncl_Gaiellales",0.239199053067666
"165","OTU274","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","uncl_Oxalobacteraceae",0.23303412901953
"87","OTU173","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Dyella",0.228102189781022
"105","OTU188","Bacteria","Acidobacteria","Acidobacteria_Gp3","uncl_Acidobacteria_Gp3","uncl_Acidobacteria_Gp3","uncl_Acidobacteria_Gp3",0.225636220161768
"170","OTU290","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","uncl_Sphingobacteriaceae",0.223170250542513
"68","OTU158","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Luteolibacter",0.219471296113632
"193","OTU390","Bacteria","Candidatus_Saccharibacteria","uncl_Candidatus_Saccharibacteria","uncl_Candidatus_Saccharibacteria","uncl_Candidatus_Saccharibacteria","Saccharibacteria_genera_incertae_sedis",0.219471296113632
"12","OTU111","Bacteria","Bacteroidetes","Cytophagia","uncl_Cytophagia","uncl_Cytophagia","uncl_Cytophagia",0.218238311304005
"179","OTU321","Bacteria","Chloroflexi","Caldilineae","Caldilineales","uncl_Caldilineales","uncl_Caldilineales",0.214539356875123
"199","OTU420","Bacteria","Cyanobacteria","Cyanobacteria","uncl_Cyanobacteria","Family_I","GpI",0.212073387255869
"227","OTU575","Bacteria","Planctomycetes","uncl_Planctomycetes","uncl_Planctomycetes","uncl_Planctomycetes","uncl_Planctomycetes",0.202209508778852
"185","OTU354","Bacteria","Firmicutes","uncl_Firmicutes","uncl_Firmicutes","uncl_Firmicutes","uncl_Firmicutes",0.200976523969225
"162","OTU262","Bacteria","Bacteroidetes","Chitinophagia","Chitinophagales","Chitinophagaceae","Terrimonas",0.19851055434997
"44","OTU137","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas",0.191112645492208
"84","OTU170","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Solirubrobacter",0.182481751824818
"216","OTU490","Bacteria","Planctomycetes","Planctomycetacia","Pirellulales","Pirellulaceae","uncl_Pirellulaceae",0.182481751824818
"182","OTU348","Bacteria","Firmicutes","Bacilli","uncl_Bacilli","uncl_Bacilli","uncl_Bacilli",0.18124876701519
"234","OTU620","Bacteria","Armatimonadetes","uncl_Armatimonadetes","uncl_Armatimonadetes","uncl_Armatimonadetes","uncl_Armatimonadetes",0.166452949299665
"168","OTU283","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",0.165219964490037
"213","OTU477","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","uncl_Nitrosomonadales","uncl_Nitrosomonadales",0.160288025251529
"243","OTU671","Bacteria","Verrucomicrobia","Spartobacteria","uncl_Spartobacteria","uncl_Spartobacteria","uncl_Spartobacteria",0.160288025251529
"125","OTU2091","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas",0.151657131584139
"242","OTU668","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","uncl_Planococcaceae",0.141793253107122
"222","OTU528","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","uncl_Planctomycetaceae",0.140560268297495
"239","OTU658","Bacteria","Armatimonadetes","uncl_Armatimonadetes","uncl_Armatimonadetes","uncl_Armatimonadetes","Armatimonadetes_gp5",0.13809429867824
"214","OTU482","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","uncl_Planctomycetales","uncl_Planctomycetales",0.131929374630105
"164","OTU273","Bacteria","Bacteroidetes","Sphingobacteriia","uncl_Sphingobacteriia","uncl_Sphingobacteriia","uncl_Sphingobacteriia",0.130696389820477
"136","OTU217","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","uncl_Acidimicrobiales","uncl_Acidimicrobiales",0.128230420201223
"219","OTU519","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Arenimonas",0.128230420201223
"130","OTU214","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Jeotgalibacillus",0.12083251134346
"190","OTU383","Bacteria","Cyanobacteria","Cyanobacteria","uncl_Cyanobacteria","Family_IV","uncl_Family_IV",0.102337739199053
"226","OTU571","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",0.0974057999605445
"13","OTU1139","Bacteria","Armatimonadetes","uncl_Armatimonadetes","uncl_Armatimonadetes","uncl_Armatimonadetes","Armatimonadetes_gp4",0.0887749062931545
"198","OTU408","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Polaromonas",0.0887749062931545
"247","OTU687","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","uncl_Sphingomonadales","uncl_Sphingomonadales",0.0887749062931545
"174","OTU303","Bacteria","Actinobacteria","Acidimicrobiia","uncl_Acidimicrobiia","uncl_Acidimicrobiia","uncl_Acidimicrobiia",0.0875419214835273
"187","OTU359","Bacteria","Verrucomicrobia","Opitutae","Opitutales","Opitutaceae","uncl_Opitutaceae",0.0863089366739002
"248","OTU688","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae","Blastocatella",0.0838429670546459
"237","OTU645","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","uncl_Solirubrobacteraceae",0.0826099822450187
"212","OTU472","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Marinomonas",0.0813769974353916
"271","OTU824","Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Legionellaceae","Legionella",0.0776780430065102
"31","OTU1250","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",0.076445058196883
"39","OTU1320","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Gemmataceae","Gemmata",0.076445058196883
"181","OTU329","Bacteria","candidate_division_WPS-1","uncl_candidate_division_WPS-1","uncl_candidate_division_WPS-1","uncl_candidate_division_WPS-1","uncl_candidate_division_WPS-1",0.0739790885776287
"167","OTU282","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","uncl_Sphingomonadaceae",0.0727461037680016
"166","OTU281","Bacteria","Armatimonadetes","Armatimonadia","Armatimonadales","Armatimonadaceae","Armatimonas/Armatimonadetes_gp1",0.0715131189583744
"276","OTU841","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","uncl_Cellvibrionales","uncl_Cellvibrionales",0.0702801341487473
"301","OTU996","Bacteria","Armatimonadetes","Chthonomonadetes","Chthonomonadales","Chthonomonadaceae","Chthonomonas/Armatimonadetes_gp3",0.0702801341487473
"197","OTU401","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Gallionellaceae","uncl_Gallionellaceae",0.0690471493391201
"229","OTU599","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Moraxella",0.0690471493391201
"26","OTU122","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","uncl_Chromatiales","uncl_Chromatiales",0.067814164529493
"72","OTU1619","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Isosphaeraceae","uncl_Isosphaeraceae",0.0665811797198659
"225","OTU568","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","uncl_Alcaligenaceae",0.0665811797198659
"278","OTU862","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Ligilactobacillus",0.0665811797198659
"300","OTU993","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Labilitrichaceae","Labilithrix",0.0665811797198659
"169","OTU287","Bacteria","Acidobacteria","Acidobacteria_Gp4","uncl_Acidobacteria_Gp4","uncl_Acidobacteria_Gp4","uncl_Acidobacteria_Gp4",0.0653481949102387
"81","OTU169","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Gemmataceae","Limnoglobus",0.0628822252909844
"176","OTU312","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Rubinisphaera",0.0628822252909844
"223","OTU541","Bacteria","Bacteroidetes","Chitinophagia","Chitinophagales","uncl_Chitinophagales","uncl_Chitinophagales",0.0628822252909844
"294","OTU946","Bacteria","Acidobacteria","Acidobacteria_Gp1","uncl_Acidobacteria_Gp1","uncl_Acidobacteria_Gp1","uncl_Acidobacteria_Gp1",0.0628822252909844
"163","OTU271","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Weeksellaceae","uncl_Weeksellaceae",0.0616492404813573
"172","OTU295","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Isosphaeraceae","Singulisphaera",0.0616492404813573
"270","OTU817","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Psychrobacter",0.0616492404813573
"297","OTU973","Bacteria","Acidobacteria","Acidobacteria_Gp2","uncl_Acidobacteria_Gp2","uncl_Acidobacteria_Gp2","Gp2",0.0616492404813573
"263","OTU758","Bacteria","Actinobacteria","Actinobacteria","Mycobacteriales","Corynebacteriaceae","Corynebacterium",0.0604162556717301
"221","OTU521","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium",0.059183270862103
"280","OTU872","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus",0.0579502860524758
"200","OTU422","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","Patulibacteraceae","uncl_Patulibacteraceae",0.0554843164332215
"258","OTU74","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Pseudoxanthomonas",0.0554843164332215
"282","OTU895","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Gemmataceae","Telmatocola",0.0554843164332215
"205","OTU434","Bacteria","candidate_division_WPS-1","uncl_candidate_division_WPS-1","uncl_candidate_division_WPS-1","uncl_candidate_division_WPS-1","WPS-1_genera_incertae_sedis",0.0542513316235944
"296","OTU957","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","uncl_Rhodanobacteraceae",0.0530183468139672
"27","OTU1220","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Kaistiaceae","uncl_Kaistiaceae",0.050552377194713
"104","OTU1879","Bacteria","Planctomycetes","Planctomycetacia","Pirellulales","Pirellulaceae","Pirellula",0.050552377194713
"186","OTU357","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Erythrobacteraceae","uncl_Erythrobacteraceae",0.050552377194713
"67","OTU1570","Bacteria","Cyanobacteria","Cyanobacteria","uncl_Cyanobacteria","Family_I","uncl_Family_I",0.0493193923850858
"292","OTU938","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Schlesneria",0.0480864075754587
"260","OTU741","Bacteria","Proteobacteria","Oligoflexia","Bacteriovoracales","Bacteriovoracaceae","Peredibacter",0.0468534227658315
"277","OTU852","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium",0.0468534227658315
"253","OTU703","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio",0.0456204379562044
"209","OTU448","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Daejeonella",0.0443874531465772
"284","OTU914","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus",0.0443874531465772
"61","OTU1523","Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Aeromonadaceae","uncl_Aeromonadaceae",0.0419214835273229
"139","OTU2225","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","Ilumatobacteraceae","uncl_Ilumatobacteraceae",0.0406884987176958
"152","OTU236","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Luteimonas",0.0406884987176958
"218","OTU515","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Cupriavidus",0.0406884987176958
"34","OTU1277","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Azospira",0.0394555139080687
"66","OTU1568","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Turicibacter",0.0394555139080687
"217","OTU501","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","Conexibacteraceae","Conexibacter",0.0394555139080687
"267","OTU768","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","uncl_Micrococcaceae",0.0394555139080687
"22","OTU1212","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","uncl_Rhodobacteraceae",0.0382225290984415
"194","OTU394","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","uncl_Rhodobacterales","uncl_Rhodobacterales",0.0382225290984415
"246","OTU682","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Clostridium_sensu_stricto",0.0382225290984415
"288","OTU923","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia",0.0382225290984415
"188","OTU365","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Weeksellaceae","Elizabethkingia",0.0345235746695601
"202","OTU431","Bacteria","Acidobacteria","Vicinamibacteria","Vicinamibacterales","Vicinamibacteraceae","Luteitalea",0.0345235746695601
